site_code,site_name,site_type,site_type_name,start_date,end_date,rkm,rkm_total,site_description,geometry,sthd_DPS,sthd_MPG,sthd_POP_NAME,sthd_TRT_POPID,sthd_GSI_Group
MAR,Marsh Cr at Lola Cr Campground,INT,Instream Remote Detection System,2019-10-17T00:00:00Z,NA,522.303.319.170.008,1322,Instream array on Marsh Creek at Lola Creek Campground. Site consists of two arrays of antennas and an IS1001 master controller. Upstream array has three 20ft antennas and one 10ft antenna and the downstream array has four 20ft antennas. System is powered by a 5120TEG and has a satellite for remote communication.,"c(-115.179841, 44.408689)",Snake River Basin Steelhead DPS,Salmon River,Middle Fork Salmon River upper mainstem,MFUMA-s,MFSALM
MIS,Mission Creek,INT,Instream Remote Detection System,2010-12-23T00:00:00Z,2019-04-09T00:00:00Z,522.224.019.016.001,782,"This is an in-stream interrogation system consisting of two separate antennas, 7 meters apart and approximately 0.1 kilometers upstream from the mouth of Mission Creek, powered by a Destron Fearing FS1001M (labeled C0). The upstream antenna, C1, and downstream antenna, C2, each consist of a single fiberglass flat-plate antenna engineered by Biomark Inc. The antennas both cover the width of the stream in all but the highest spring discharges. MIS is operated by the University of Idaho, Department of Fish and Wildlife Resources in coordination with Bureau of Reclamation. Site is no longer active.","c(-116.735597, 46.367062)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
MR1,Minam River at river km 0.5,INT,Instream Remote Detection System,2020-02-20T00:00:00Z,NA,522.271.131.016.001,941,"MR1 is a tandem array in-stream detection system located in the Minam River approximately 0.5 km upstream of the confluence of the Minam and Wallowa Rivers  (lat 45.619623°, lon -117.726570°).  The site is just upstream of a rotary smolt trap seasonally operated by Oregon Department of Fish and Wildlife. Streamside components including master controller, propane tanks, thermal electric generator, solar array and battery box are located on the north bank of the Minam River between the river and a large pull-out along Highway 82. A total of 10 HDPE attenae (2 sets of 5 in parallel) span 32 meters of stream.  MR1 was installed in August of 2019 by Nez Perce Tribe Grande Ronde Supplementation Monitoring and Evaluation Program. MR1 began collecting data in February of 2020. Data are downloaded manually.","c(-117.72657, 45.619623)",Snake River Basin Steelhead DPS,Grande Ronde River,Wallowa River,GRWAL-s,GRROND
MTR,Middle Tucannon River,INT,Instream Remote Detection System,2011-09-23T00:00:00Z,2015-10-08T00:00:00Z,522.100.019,641,"The Middle Tucannon River site is located about 250 feet above the River Ranch Ln bridge on the Tucannon River, at River Kilometer 19.5. The site started operations with 6 antennas in 3 rows of 2 antennas each in September 2011. In July 2017, one row of two antennas was removed and an IS1001 MC was installed.","c(-118.016274, 46.505239)",Snake River Basin Steelhead DPS,Lower Snake,Tucannon River,SNTUC-s,LSNAKE
NFS,North Fork Salmon River,INT,Instream Remote Detection System,2015-11-18T00:00:00Z,NA,522.303.381.002,1208,The in-stream detection system on the North Fork Salmon River (NFSR) is located approximately 0.5 km above the confluence with the Salmon River and is comprised of two arrays. The upstream and downstream arrays each have four 10 ft antennas. NFS was installed by Quantitative Sampling Technologies and is maintained by the Idaho Department of Fish and Game. It was installed in November 2015 and is powered by a battery bank which is charged by grid power at a nearby residence. Remote communication is via satellite service.,"c(-113.994089, 45.417558)",Snake River Basin Steelhead DPS,Salmon River,North Fork Salmon River,SRNFS-s,UPSALM
PCA,Panther Creek Array,INT,Instream Remote Detection System,2017-07-27T00:00:00Z,NA,522.303.338.005,1168,"The site consists of 6-20ft HDPE antennas, arranged in two strings of 3 antennas located about 150 apart. The antennas are constructed of fusion welded 4 inch HDPE pipe. Each antenna is driven by a Biomark IS1001 reader located in a submersible canister attached to the antenna. The readers are controlled by a Biomark IS1001-MC located in an enclosure on the shore.The antennas are anchored to the streambed with a “through-strut” method using DB-88 earth anchors attached to stainless steel threaded rod. The anchors are driven to a depth of 20-30 inches into the river bed. The IS1001 readers are connected to the MC by a single run of Biomark CAN-Bus cable. The readers are attached in series to the MC. All cables are covered by flexible non-metallic conduit.Power for the system is supplied by a propane Gentherm Thermo Electric Generator (TEG), this power creates a constant 27 volts of DC power supplied to the Biomark electronics enclosure; which houses the Biomark IS1001-Master Controller (MC), air temperature sensor, depth sensor board and remote communications. Due to the remote location of the site, use of a HughesNet satellite communications system is in place. This allows for remote access and communication to the MC and all of the connected components.","c(-114.358101, 45.295253)",Snake River Basin Steelhead DPS,Salmon River,Panther Creek,SRPAN-s,UPSALM
PCM,"Pine Creek Mouth, Potlatch R.",INT,Instream Remote Detection System,2015-10-01T00:00:00Z,NA,522.224.024.028.001,799,The Pine Creek Array is located on Pine Creek immediately above the confluence with the Potlatch River near river kilometer 28.  PCM was fully operational on 10-1-2015.  The site consists of two sets of two antennas.  A cellular modem has been set up for remote data retrieval.,"c(-116.596836, 46.630673)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
PWA,Penawawa Creek,INT,Instream Remote Detection System,2022-02-09T00:00:00Z,NA,522.145.001,668,"PWA is a seasonal/temporary instream PIT tag interrogation site located at RKM 1.2 on Penawawa Creek, a tributary of the Snake River. The site consists of two rows with one antenna each, each row spans the entire width of the channel at both base and elevated flows. Each row consists of one 10-foot antenna, oriented in an upright or pass-through configuration. Both antennas are operated through a Destron-Fearing FS1001 MUX transceiver. Power is created at the site by Global Industries thermo electric generator. All infrastructure at this site is installed temporarily and operated from January/February until June.","c(-117.684506, 46.713909)",Snake River Basin Steelhead DPS,Lower Snake,Tucannon River,SNTUC-s,LSNAKE
RFL,Redfish Lake Creek,INT,Instream Remote Detection System,2018-04-01T00:00:00Z,NA,522.303.615.001,1441,"The site is located on Redfish Lake Creek approximately one half mile upstream from the confluence with the Salmon River. The electronics enclosure and battery box are located on the river right bank on the back side of a storage shed used by the camp host at Chinook Bay Campground.The site consists of four 20ft HDPE antennas, located in a single string across the river.  The antennas are constructed of fusion welded 4 inch HDPE pipe. Each antenna is driven by a Biomark IS1001 reader located in a submersible canister attached to the antenna. The readers are controlled by a Biomark IS1001-MC located in an enclosure on the shore.   The antennas are anchored to the streambed with a through-strut method using DB-88 earth anchors attached to stainless steel threaded rod. The anchors are driven to a depth of 20-30 inches into the river bed. The IS1001 readers are connected to the IS1001-MC via Biomark CAN Bus cable. All cables are covered by flexible non-metallic conduit.  Power for the system is supplied by six 12V 115Ah batteries, these batteries are run in series-parallel to create 24V to power the IS1001-MC and provide approximately 7 days of runtime.The required permits are still pending to install the complete enclosure and connect the system to AC power via an Isolation Transformer and disconnect switch. Until that time the system will be run off the above described battery system.","c(-114.905043, 44.164727)",Snake River Basin Steelhead DPS,Salmon River,Salmon River upper mainstem,SRUMA-s,UPSALM
RRT,Red River Satellite Facility,INT,Hatchery Returns,2012-01-05T00:00:00Z,2013-07-02T18:00:00Z,522.224.120.101.027,994,"This array is located in the ladder of the Red River Satellite Facility.  The Red River is a tributary to the South Fork Clearwater River.  The array consists of two overflow antennas.  The openings for the antennas are 30 x 36 and each antenna has a baffle to replicate the existing dam board baffle.  All fish migrating up the Red River that try to migrate upstream of the satellite facility are forced into the ladder via a removable weir.  Fish have the freedom to move into and out of the ladder at will and are not trapped until they jump a finger weir that is above all array antennas.  Adult Chinook salmon that swim past the array and enter the ladder are sorted by origin.  Natural origin fish are returned to the Red River, above the weir, while hatchery origin fish are typically ponded and latter spawned, recycled through the fishery, or released elsewhere in the basin.","c(-115.347147, 45.711179)",Snake River Basin Steelhead DPS,Clearwater River,South Fork Clearwater River,CRSFC-s,SFCLWR
SC1,Lower SF Clearwater R at rkm 1,INT,Instream Remote Detection System,2011-08-18T00:00:00Z,2019-09-18T00:00:00Z,522.224.120.001,867,"Instream detection system located in the lower South Fork Clearwater River. The site is located at river km 0.9 consists of a single array of seven 20-ft Biomark HDPE antennas. The array spans the entire channel during low flow conditions. SC1 is operated by the Nez Perce Tribe and Biomark and was originally installed for continuous monitoring on August 19, 2011, with a FS2001M and six antennas. The site was upgraded to an IS1001-MTS on September 19, 2019. The array includes air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by grid power and remote communication provided by a cellular modem.","c(-115.981313, 46.137022)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
SC2,Lower SF Clearwater R at rkm 2,INT,Instream Remote Detection System,2011-09-19T00:00:00Z,NA,522.224.120.002,868,"Instream detection system consisting of a tandem array located in the lower South Fork Clearwater River. The array (SC2) located at river km 2 (N 46.12749 W -115.97730) consists of a single array of six 20 ft Biomark flat panel antennas each. The array spans the channel during low flow conditions. SC2 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on September 19, 2011. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by grid power and remote communication provided by a cellular modem.","c(-115.97776, 46.127209)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
SC3,South Fork Clearwater Site 3,INT,Instream Remote Detection System,2021-08-23T00:00:00Z,NA,522.224.120.060,926,"Lower, single array to help quantify passage near Milepost 28 on state highway 14. Array is located just upstream of Peasley Creek on the mainstem South Fork Clearwater River, Idaho.","c(-115.815972, 45.814145)",Snake River Basin Steelhead DPS,Clearwater River,South Fork Clearwater River,CRSFC-s,SFCLWR
SC4,South Fork Clearwater Site 4,INT,Instream Remote Detection System,2021-08-23T00:00:00Z,NA,522.224.120.081,947,"Upper, dual array to help quantify passage near Milepost 28 on state highway 14. Array is located just upstream of Forest Road 492 bridge and below Leggett Creek in the mainstem South Fork Clearwater River, Idaho.","c(-115.6341, 45.8235)",Snake River Basin Steelhead DPS,Clearwater River,South Fork Clearwater River,CRSFC-s,SFCLWR
SFG,SF Salmon at Guard Station Br.,INT,Instream Remote Detection System,2009-03-01T00:00:00Z,2023-09-15T00:00:00Z,522.303.215.030,1070,"This is an in-stream interrogation system located at river km 30 near the lower South Fork Salmon River Guard Station on the South Fork Salmon River. The original configuration consisted of six flat plate antennas. Three antennas were added in September 2023 for a total of nine pass-over, in-stream antennas that span the width of the river.  The original FS1001M transceiver was replaced with a Biomark IS1001-MC system in September 2023.","c(-115.579712, 45.175659)",Snake River Basin Steelhead DPS,Salmon River,South Fork Salmon River,SFMAI-s,SFSALM
SIX,Sixmile Creek Seasonal IPTDS,INT,Instream Remote Detection System,2023-02-08T00:00:00Z,NA,522.224.096.001,843,"Sixmile Creek is a tributary of the lower Clearwater River, Idaho. The confluence of Sixmile Creek is on the west side of the Clearwater River at river kilometer 96.  Sixmile Creek is about 8 miles long, draining 3,320 acres, and is considered an unknown spawning area for Snake River summer steelhead within the Lower Mainstem Clearwater steelhead population. The Sixmile Creek interrogation site was installed as a temporary and seasonal site at river kilometer 0.4 to estimate steelhead abundance within the Lawyer Creek spawning aggregate because an interrogation site downstream of the Lower Mainstem Clearwater capable of providing a population estimate for the population does not exist.","c(-116.133507, 46.301448)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
STL,Sawtooth Hatchery Adult Trap,INT,Hatchery Returns,2009-12-01T00:00:00Z,2018-08-05T00:00:00Z,522.303.617.000,1442,"This array is located in the ladder of the Sawtooth Hatchery adult fish trap.  The array consists of four antennas, a top-water (30x50) and submerged (18x18) antenna on both a down-ladder dam-board and an up-ladder dam-board.  All fish migrating up the Salmon River that try to migrate upstream of the satellite facility are forced into the ladder via a removable weir.  This weir is a permanent structure with removable panels that is very effective at blocking the upriver movement of fish.  Fish have the freedom to move into and out of the ladder at will and are not trapped until they jump a finger weir that is above all array antennas.  Adult Chinook salmon that swim past the array and enter the ladder are sorted by origin.  Natural origin fish are returned to the Salmon River above the weir while hatchery origin fish are typically ponded and later spawned, recycled through the fishery, or released elsewhere in the basin. Site is no longer active.","c(-114.883772, 44.153369)",Snake River Basin Steelhead DPS,Salmon River,Salmon River upper mainstem,SRUMA-s,UPSALM
STR,SF Salmon Satellite Facility,INT,Hatchery Returns,2009-06-01T00:00:00Z,2019-07-24T00:00:00Z,522.303.215.115,1155,"This array is located in the ladder of the South Fork Salmon River adult fish trap.  The array consists of four antennas, a top-water (30 x 60) and submerged (12 x 15) antenna on both a down-ladder dam-board and an up-ladder dam-board.  All fish migrating up the South Fork that try to migrate upstream of the satellite facility are forced into the ladder via a removable weir.  This weir is a permanent structure with removable panels that is very effective at blocking the upriver movement of fish.  Fish have the freedom to move into and out of the ladder at will and are not trapped until they jump a finger weir that is above all array antennas.  Adult Chinook salmon that swim past the array and enter the ladder are sorted by origin.  Natural origin fish are returned to the South Fork above the weir while hatchery origin fish are typically ponded and latter spawned, recycled through the fishery, or released elsewhere in the basin. Site is no longer active.","c(-115.702953, 44.666874)",Snake River Basin Steelhead DPS,Salmon River,South Fork Salmon River,SFMAI-s,SFSALM
SW1,Lower Selway River Array,INT,Instream Remote Detection System,2016-11-01T00:00:00Z,NA,522.224.120.037.005,908,"The lower Selway PIT tag array is located 5 rkm upstream of the mouth of the Selway River in the upper Clearwater Basin Idaho.  The array spans the entire river, high water mark to high water mark.  The site consists of a pair of Biomark IS1001-Master Controllers, 19-IS1001 readers, eighteen 20 ft antennas and one 10 ft antenna. The antennas are arranged in single 370 ft array. IS1001-MC A0 controls antennas 01-0A (from left-bank) and IS1001-MC BO controls antennas 01-09 (from middle of channel to right bank). Site has AC power with Biomark PLC battery switcher, satellite communication and Campbell Scientific CS451 and 109 environmental probes.","c(-115.565886, 46.110318)",Snake River Basin Steelhead DPS,Clearwater River,Selway River,CRSEL-s,UPCLWR
SW2,Upper Selway River Array,INT,Instream Remote Detection System,2017-09-11T00:00:00Z,NA,522.224.120.037.013,916,"Site consists of a pair of Biomark IS1001-Master Controllers, 18-IS1001 readers, sixten 20 ft antennas and two 10 ft antennas. The antennas are arranged in single 340 ft array. IS1001-MC A0 controls antennas 01-09 (from left-bank) and IS1001-MC BO controls antennas 01-09 (from middle of channel to right bank). Site has AC power with Biomark PLC battery switcher, satellite communication and Campbell Scientific CS451 and 109 environmental probes.","c(-115.515533, 46.085934)",Snake River Basin Steelhead DPS,Clearwater River,Selway River,CRSEL-s,UPCLWR
SWT,Sweetwater Cr. near its mouth,INT,Instream Remote Detection System,2008-08-01T00:00:00Z,2011-01-01T00:00:00Z,522.224.019.010.001,776,"This is an in-stream interrogation system consisting of three separate antennas, 5 meters apart and approximately 0.1 kilometers upstream from the mouth of Sweetwater Creek. The upstream antenna B1, middle antenna B2, and downstream antenna B3 each consist of a single PVC encased flat-plate antenna.  Antennas B1 and B3 are 15 feet wide and antenna B2 is 10 feet wide.  The antennas all cover the width of the stream in all but the highest spring discharges (Figure 3). SWT is operated by the University of Idaho, Department of Fish and Wildlife Resources in coordination with Bureau of Reclamation. This new setup was installed in November 2011 and replaced the old setup that was originally installed in November 2010.","c(-116.795757, 46.369217)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
TAY,Big Creek at Taylor Ranch,INT,Instream Remote Detection System,2006-07-01T00:00:00Z,2017-10-10T00:00:00Z,522.303.319.029.011,1184,"Site currently consists of a Biomark IS1001-Master Controller, 12 IS1001 readers, 12 20 ft antennas. The antennas are arranged in tandem with each array containing 6 antenna spanning 120 ft with a distance of 45 ft between the arrays.  Site has solar power, Hughes satellite modem and Campbell Scientific CS450L, CS107 environmental probes. From 2006 until October 2017, the site was located about 250 yards downstream of its current location, centered around the bridge at Taylor Ranch. It consisted of two FS1001M transcievers operating two arrays of six antennas each approximately 200 meters apart, spanning Big Creek above and below the bridge.","c(-114.853817, 45.103532)",Snake River Basin Steelhead DPS,Salmon River,"Big, Camas, and Loon Creek",MFBIG-s,MFSALM
TFH,Tucannon Fish Hatchery,INT,Instream Remote Detection System,2012-02-04T00:00:00Z,2016-12-01T00:00:00Z,522.100.059,681,"The Tucannon Fish Hatchery site is located at the Tucannon Fish Hatchery Adult Trap and Water Intake System on the Tucannon River, at River Kilometer 59.4. The site consists of six flat plate antennas (two rows of three antennas each) upstream of the weir, two antennas in the fish ladder and four flat plate antennas (two rows of two antennas each) approximately 400m downstream of the weir. The antennas in the fish ladder and downstream of the weir were added in December 2016 during a site overhaul that also included replacing the FS1001M transceiver with the IS1001-MC and the original 6 antennas. The antennas upstream of the weir were washed out February 2020 and have not yet been reinstalled. The site is connected to AC power and also includes a Campbell Scientific CR1000 data logger and remote communication via a satellite modem.","c(-117.657161, 46.309627)",Snake River Basin Steelhead DPS,Lower Snake,Tucannon River,SNTUC-s,LSNAKE
TPJ,Tucannon at Panjab Creek,INT,Instream Remote Detection System,2018-09-10T00:00:00Z,NA,522.100.078,700,"TPJ is a permanent instream PIT tag interrogation site at RKM 74.5 on the Tucannon River and Panjab Creek. The site consists of two rows of antennas spanning the wetted width of the Tucannon River and a single antenna in Panjab Creek. The upstream row consists of two 20-foot PVC antennas above the mouth of Panjab Creek, installed in a flat-plate configuration and the lower or downstream row consists of two 20-foot antenna below the mouth of Panjab Creek, there is a single 20-foot antenna in Panjab Creek approximately 20 feet upstream from the mouth. Each antenna is powered by an IS1001-MC. The antennas were built and installed by WDFW. A thermo-electric propane generator which runs off a 300-gallon propane tank provide the electrical power at the site. ","c(-117.706176, 46.204596)",Snake River Basin Steelhead DPS,Lower Snake,Tucannon River,SNTUC-s,LSNAKE
UGR,Upper Grande Ronde at rkm 155,INT,Instream Remote Detection System,2012-10-18T00:00:00Z,NA,522.271.155,948,"In-stream detection system consisting of a single array located in the Grand Ronde River. The array (UGR) is located at river km 522.271.155 (45. 593338, -117.903124) and consists of six 20 foot Biomark flat panel antennas. The array spans the entire river at base flow. UGR is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe Fisheries and Quantitative Consultants, Inc. and was installed for continuous monitoring on October 18, 2012. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a hybrid solar/ thermal electric generator. Remote communication is provided by a satellite phone modem. Data collection started on October 18, 2012.","c(-117.903379, 45.59352)",Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s,GRROND
UGS,Upper Grande Ronde Starkey,INT,Instream Remote Detection System,2017-11-03T00:00:00Z,2022-04-14T17:50:00Z,522.271.291,1084,"Instream detection array near the upper Grande Ronde weir at Starkey, consisting of a IS1001-MTS multiplexing receiver and eight antennas, each with 24v IS1001s.  Antenna arrays consist of eight antennas that span the normal high water mark and are secured to the substrate for pass-over detection.  Three antennas are placed side-by-side to span the creek for the upstream two arrays, and two antennas are placed side-by-side to span the creek for the downstream most array. This provides three separate arrays of coverage. Site is grid powered and operates year-round. Site is on private land.","c(-118.388958, 45.248955)",Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s,GRROND
USE,Upper Salmon River at rkm 437,INT,Instream Remote Detection System,2012-09-12T00:00:00Z,NA,522.303.437,1262,"In-stream detection system consisting of a single array located in the Salmon River. The array (USE) is located at river km 522.303.437 (N45.028939 W-113.915892) and consists of six 20 foot Biomark flat panel antennas. The array does not span the entire river at base flow. USE is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in September, 2012. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a battery switcher with power supplied from a thermal electric generator. Remote communication is provided by a cellular phone modem. Data collection started on September 14, 2012.","c(-113.916319, 45.02853)",Snake River Basin Steelhead DPS,Salmon River,Pahsimeroi River,SRPAH-s,UPSALM
USI,Upper Salmon River at rkm 460,INT,Instream Remote Detection System,2012-08-30T00:00:00Z,NA,522.303.460,1285,"In-stream detection system consisting of a single array located in the main-stem Salmon River. The array (USI) is located at river km 522.303.460 (N44.890380 W-113.962575) and consists of six 20 foot Biomark flat panel antennas. The array does not span the entire river at base flows. USI is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in August, 2012. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a battery switcher with power supplied from the electrical power grid. Remote communication is provided by a cellular phone modem. Data collection began in November 2012.","c(-113.964145, 44.889763)",Snake River Basin Steelhead DPS,Salmon River,Pahsimeroi River,SRPAH-s,UPSALM
UTR,Upper Tucannon River,INT,Instream Remote Detection System,2011-10-19T00:00:00Z,2017-03-17T00:00:00Z,522.100.053,675,"The Upper Tucannon River site is located about 200 yards above Don Howards House on the Tucannon River, at River Kilometer 53.2.","c(-117.738342, 46.415922)",Snake River Basin Steelhead DPS,Lower Snake,Tucannon River,SNTUC-s,LSNAKE
VC1,"Valley Creek, Upstream Site",INT,Instream Remote Detection System,2002-07-10T08:25:39Z,2007-09-06T00:00:00Z,522.303.609.002,1436,"This is an in-stream interrogation system located on Valley Creek at Stanley, ID., in the Upper Salmon River. Site lost power February 2021 and was removed August 2021.","c(-114.94215, 44.218672)",Snake River Basin Steelhead DPS,Salmon River,Salmon River upper mainstem,SRUMA-s,UPSALM
VC2,"Valley Creek, Downstream Site",INT,Instream Remote Detection System,2002-07-10T08:25:42Z,2007-09-06T00:00:00Z,522.303.609.001,1435,"This is an in-stream interrogation system located on Valley Creek below Stanley, ID., in the Upper Salmon River.","c(-114.93146, 44.2219)",Snake River Basin Steelhead DPS,Salmon River,Salmon River upper mainstem,SRUMA-s,UPSALM
WB1,White Bird Cr Seasonal IPTDS,INT,Instream Remote Detection System,2021-01-14T00:00:00Z,NA,522.303.086.002,913,"White Bird Creek is a tributary of the lower Salmon River, Idaho.  The confluence of White Bird Creek is on the east side of the Salmon River at river kilometer 86 and about 5.8 miles in length, and is a minor spawning area for the Snake River summer steelhead within the Little Salmon River steelhead population.  The White Bird Creek interrogation site was installed as a temporary and seasonal site at river kilometer 2 to estimate steelhead abundance within the White Bird Creek spawning aggregate because an interrogation site downstream of the Little Salmon River capable of providing a population estimate for the population does not exist.","c(-116.306603, 45.758183)",Snake River Basin Steelhead DPS,Salmon River,Little Salmon and Rapid River,SRLSR-s,LOSALM
WEB,Webb Creek,INT,Instream Remote Detection System,2010-11-17T00:00:00Z,2022-09-09T00:00:00Z,522.224.019.010.006.001,782,"This is an in-stream interrogation system consisting of two separate antennas, 10 meters apart and approximately 1.0 kilometers upstream from the mouth of Webb Creek, powered by a Destron Fearing FS1001M (labeled D0). The upstream antenna, D1, and downstream antenna, D2, each consist of a single PVC flat-plate antenna engineered by NMFS. The antennas both cover the width of the stream in all but the highest spring discharges. WEB is operated by the University of Idaho, Department of Fish and Wildlife Resources in coordination with Bureau of Reclamation.","c(-116.831974, 46.325992)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
WEN,Wenaha River Mouth,INT,Instream Remote Detection System,2018-09-27T00:00:00Z,2022-09-20T00:00:00Z,522.271.073.001,867,"Instream detection array on the Wenaha River near Troy, Oregon (called the Little Salmon (Wenaha) on tax maps).  Array consists of two IS1001-MTS multiplexing receivers (not synchronized), one MTS with three antennas, and one MTS services two antennas.  Each antenna has an associated 24v-IS1001.  Antenna arrays are upstream (three antennas), middle (one antenna) and downstream (one antenna).  The middle and downstream arrays are serviced with one MTS, and the upstream array is on the second MTS.   The middle and downstream arrays span the normal low water mark and are secured to the substrate for pass-over detection.   The upstream array is on the river left, and is what is remaining from the original system that was heavily damaged during a high water event in the spring of 2019.  The two downstream antennas (and arrays) provide stream-width coverage to determine detection efficiency and direction of movement, and have direct communication to PTAGIS.  The upstream array is not connected to the internet, and is serviced every quarter.  Site is grid powered and operates year-round.   Site is on ODFW (upstream array) and private property (middle and downstream arrays).","c(-117.454124, 45.946151)",Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River lower mainstem tributaries,GRLMT-s,GRROND
WPC,"Wimpey Creek, Lemhi R. Basin",INT,Instream Remote Detection System,2013-10-09T00:00:00Z,2017-09-01T00:00:00Z,522.303.416.020.001,1262,"In-stream detection system consisting of two antennas deployed serially about 30 meters apart in Wimpey Creek and is approximately 70 meters upstream of the confluence with the Lemhi River.  WPC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc.  The initial configuration consisting of three arrays of three antennas each was replaced in August of 2017 to two 20 foot ABS antennas.  Site electricity comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature. Site was removed in April 2018","c(-113.720497, 45.097938)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
WR1,Wallowa River at river km 14,INT,Instream Remote Detection System,2013-08-16T00:00:00Z,NA,522.271.131.014,938,"WR1 is an in-stream detection system consisting of a single array located in the Wallowa River, Oregon.  The array is located at river km 522.271.131.014 (N 45.633769 ° W -117.73369°) and consists of six 20 foot Biomark flat panel antennas.  The array spans all but 20 feet of the river at base flow.  WR1 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe Fisheries and Quantitative Consultants, Inc. and was installed for continuous monitoring on August 16, 2013.  The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level.  Electrical power is provided by a thermal electric generator.  Remote communication is provided by a satellite phone modem.  Data collection started on August 16, 2013.","c(-117.733757, 45.633679)",Snake River Basin Steelhead DPS,Grande Ronde River,Wallowa River,GRWAL-s,GRROND
WR2,Wallowa River at rkm 32,INT,Instream Remote Detection System,2018-08-02T12:00:00Z,2022-10-15T00:00:00Z,522.271.131.032,956,"WR2 is a tandem array in-stream detection sytem located in the Wallowa River at approximately river km 32 just upstream of Lower Diamond Road bridge near the town of Wallowa, OR. A total of 8 HDPE antennas (2 sets of 4 in parallel) span approximately 21 meters river channel. WR2 was installed on August 2, 2018 and is operated by the Nez Perce Tribe Grand Ronde Supplementation Monitoring and Evaluation Program. The site is powered by a thermal electric generator fueled by a 300 gallon propane tank. Remote communication is provided by satellite phone modem. Data collection started on October 23, 2018.","c(-117.579223, 45.594466)",Snake River Basin Steelhead DPS,Grande Ronde River,Wallowa River,GRWAL-s,GRROND
YFK,Yankee Fork Salmon River,INT,Instream Remote Detection System,2012-03-29T00:00:00Z,NA,522.303.591.003,1419,"Theis is a permanent instream PIT tag detection site consisting of four Biomark 20ft stout pass-by antennas connected to an enclosure pole. The antennas are arranged in two arrays about 10 meters apart. The equipment is linked to direct power and communications are provided by direct phone line. Water depth, water temperature, and air temperature probes are also installed. The site is located 3.14 river kilometers upstream from the confluence with the Salmon River at an elevation of 1855m. The site is characterized as a B-type channel with 2-4 percent grade, a B-type streambed, and a 2-3 (boulder:cobble) stream type. Primary vegetation at the site includes alders, willows, and conifers.","c(-114.720453, 44.287737)",Snake River Basin Steelhead DPS,Salmon River,Salmon River upper mainstem,SRUMA-s,UPSALM
YPP,Yellow Pine Pit Lake,INT,Instream Remote Detection System,2017-08-31T00:00:00Z,NA,522.303.215.060.042,1142,"Site is located roughly 300ft downstream from the outlet of Yellow Pine Pit Lake in the Stibnite mine on the East Fork of the Southfork Salmon River. The closest major landmark is the town of Yellow Pine, ID which is roughly 11 miles downstream from the site. The site consists of (1) Biomark IS1001MC and (2) Biomark 15ft HDPE Antennas, power to the site is from a Thermo Electric Generator running on propane, with no remote communications.","c(-115.333883, 44.928995)",Snake River Basin Steelhead DPS,Salmon River,South Fork Salmon River,SFMAI-s,SFSALM
